1,0
1.11,0.17
1.23,0.29
1.57,0.54
2.12,0.8
2.73,1.03
3.36,1.3
3.95,1.57
4.39,1.79
5.29,2.29
6.11,2.8
6.54,3.75
6.95,5.27
7.43,7.73
7.76,10.21
